sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_77dde5fe77570a50	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_7853a45f5fce46ee	GO Biological Process	regulation of proteolysis (GO:0030162)	1	0	CLN3		0.5603004464868871	1.0	1.0	1.0
ABCA4_7853a45f5fce46ee	GO Biological Process	regulation of cytosolic calcium ion concentration (GO:0051480)	1	0	CLN3		0.5603004464868871	1.0	1.0	1.0
ABCA4_7853a45f5fce46ee	GO Biological Process	regulation of TORC1 signaling (GO:1903432)	1	0	CTNS		0.5603004464868871	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Biological Process	chloride transmembrane transport (GO:1902476)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Biological Process	calcium activated phosphatidylserine scrambling (GO:0061589)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Biological Process	establishment of localization in cell (GO:0051649)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77b61c48f2a3b634	Reactome	Transport of small molecules (R-HSA-382551)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_77b61c48f2a3b634	Reactome	Miscellaneous transport and binding events (R-HSA-5223345)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_77b61c48f2a3b634	GO Cellular Component	early endosome (GO:0005769)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
ABCA4_77b61c48f2a3b634	GO Cellular Component	membrane (GO:0016020)	0	1		NIPA2	-3.1699250014423126	1.0	1.0	1.0
